,SPXT/SPX inst_corr,SPXT/SPX hist_corr,SPXT/LG30TRUU inst_corr,SPXT/LG30TRUU hist_corr,SPX/LG30TRUU inst_corr,SPX/LG30TRUU hist_corr
304,0.6592829024623608,0.9998054327542627,0.6337974976779817,0.8959739456714014,0.6325348845932045,0.8941914090650133
305,0.6592829024623608,0.9997951930499895,0.6337974976779817,0.8973543545812136,0.6325348845932045,0.8955245822330378
306,0.6592829024623608,0.9997629420849957,0.6337974976779817,0.9059027207503173,0.6325348845932045,0.9049193086175744
307,0.6592829024623608,0.9997698939557049,0.6337974976779817,0.8844008707224721,0.6325348845932045,0.8838090151454238
308,0.6592829024623608,0.9997665275932316,0.6337974976779817,0.8755481898454823,0.6325348845932045,0.8745580185525117
309,0.6592829024623608,0.9997947618338904,0.6337974976779817,0.8692668451983951,0.6325348845932045,0.8680749712417712
310,0.6592829024623608,0.999800613028488,0.6337974976779817,0.8023248534385989,0.6325348845932045,0.8023275498173895
311,0.6592829024623608,0.9997630080182074,0.6337974976779817,0.7967225993026977,0.6325348845932045,0.7951852737416679
312,0.6592829024623608,0.9997412451214451,0.6337974976779817,0.7846812450711468,0.6325348845932045,0.7834265483320666
313,0.6592829024623608,0.9997286747919796,0.6337974976779817,0.8024326267858759,0.6325348845932045,0.802100939734272
314,0.6592829024623608,0.9997659497878356,0.6337974976779817,0.7790345486265476,0.6325348845932045,0.7795569594033379
315,0.6592829024623608,0.9997513090182926,0.6337974976779817,0.77113263515432,0.6325348845932045,0.771335992232613
316,0.6592829024623608,0.9997862949196582,0.6337974976779817,0.8028807133501871,0.6325348845932045,0.8028635733320911
317,0.6592829024623608,0.9997850848338662,0.6337974976779817,0.7937839405739785,0.6325348845932045,0.7942478913971865
318,0.6592829024623608,0.9997910848908211,0.6337974976779817,0.7881211002407504,0.6325348845932045,0.7889197962317338
319,0.6592829024623608,0.9997902287818424,0.6337974976779817,0.7750467838601646,0.6325348845932045,0.7758972384714896
320,0.6592829024623608,0.9997800689630617,0.6337974976779817,0.7088133318436772,0.6325348845932045,0.7109977526613491
321,0.6592829024623608,0.9997243881701476,0.6337974976779817,0.7119957904973497,0.6325348845932045,0.7135475827236997
322,0.6592829024623608,0.9997307576128313,0.6337974976779817,0.7090850602383187,0.6325348845932045,0.7109173194324653
323,0.6592829024623608,0.9997011713833941,0.6337974976779817,0.7009832654695367,0.6325348845932045,0.7033239765652884
324,0.6592829024623608,0.9996933606856683,0.6337974976779817,0.691005391535298,0.6325348845932045,0.6935197105647171
325,0.6592829024623608,0.999685944057416,0.6337974976779817,0.6977784243032464,0.6325348845932045,0.6996757594471508
326,0.6592829024623608,0.9997084133822632,0.6337974976779817,0.7859168292795566,0.6325348845932045,0.7897684036859791
327,0.6592829024623608,0.9997289679509697,0.6337974976779817,0.7819319848637147,0.6325348845932045,0.7862274089345132
328,0.6592829024623608,0.9997946451157148,0.6337974976779817,0.7524932501365228,0.6325348845932045,0.7546074179277802
329,0.7837228456781756,0.999709650490391,0.8343295455294106,0.766919856875294,0.8316961618906786,0.7694431006188063
330,0.6619069909943658,0.9999357048489729,0.5770717668310811,0.8754581224647994,0.575833914096001,0.8766828445975736
331,0.9480661152821369,0.9999475567022675,0.7978035268576524,0.8785893722039072,0.7973209865130539,0.8791573014928723
332,0.9480661152821369,0.9999555773652118,0.7978035268576524,0.8950703978778634,0.7973209865130539,0.8954010421588894
333,0.9448011172553906,0.9999631889000883,0.8764705920172882,0.8929886634647086,0.876622547861515,0.8936501606266712
334,0.9448011172553906,0.999972277535096,0.8688125414067445,0.9174495274713236,0.868907722821067,0.9180018843425497
335,0.9448011172553906,0.9999723053669164,0.8688125414067445,0.9157703755814819,0.868907722821067,0.9163390998619427
336,0.9448011172553906,0.9999731220850991,0.8688125414067445,0.9125260446242673,0.868907722821067,0.9130000622751239
337,0.9448011172553906,0.9999734865687593,0.7691247625497479,0.9051634393097635,0.7666887566612887,0.9056123034990678
338,0.9448011172553906,0.9999722522511697,0.7691247625497479,0.8953097620896548,0.7666887566612887,0.8956897773596023
339,0.6524721665854764,0.9999725254131892,0.5950302972732405,0.8918248732403867,0.5945820470112388,0.8921621199738927
340,0.8279422813178674,0.9999794571944373,0.7780971455355117,0.9134299828979224,0.7775999807722866,0.9136645207948997
341,0.8279422813178674,0.9999813964235672,0.7780971455355117,0.8856087376719903,0.7775999807722866,0.8855443737394589
342,0.8279422813178674,0.9999824984784117,0.7780971455355117,0.8895279199324063,0.7775999807722866,0.8894105218009268
343,0.8279422813178674,0.9999843071345693,0.7780971455355117,0.8727035926356734,0.7775999807722866,0.8728075693686004
344,0.8279422813178674,0.9999856108326138,0.7780971455355117,0.8824960030937399,0.7775999807722866,0.8825839594763949
345,0.8697397800590128,0.999986300293298,0.8308062507323208,0.8851424826341336,0.8308438965028146,0.8851788182816497
346,0.8697397800590128,0.9999867582279641,0.8308062507323208,0.8898441288341165,0.8308438965028146,0.8899076588806568
347,0.8697397800590128,0.9999869311443199,0.8308062507323208,0.8897379031126541,0.8308438965028146,0.8897978686793468
348,0.8697397800590128,0.9999908726490977,0.8308062507323208,0.893543987084617,0.8308438965028146,0.8933539436672042
349,0.8815792646945098,0.9999910375597976,0.7603132818993709,0.8953460002582123,0.759952253204214,0.8951460383426002
350,0.9715885559871024,0.999991878644394,0.8213319892418167,0.9061971492302973,0.8229111516389882,0.9061587325512681
351,0.9715885559871024,0.9999757609749619,0.8213319892418167,0.9042813078611779,0.8229111516389882,0.9038063562060948
352,0.9715885559871024,0.9999687025989124,0.8213319892418167,0.9006062658178063,0.8229111516389882,0.8998127294971584
353,0.8269046894949889,0.9999683459633332,0.8219415680054706,0.9011721056066494,0.8187287532710891,0.9005871815682237
354,0.8269046894949889,0.9999667806989233,0.8219415680054706,0.891301153327649,0.8187287532710891,0.8906281129622358
355,0.8269046894949889,0.9999626713727293,0.8219415680054706,0.8898755908363647,0.8187287532710891,0.8894927747065113
356,0.8269046894949889,0.9999509441263663,0.8219415680054706,0.8778475644178274,0.8187287532710891,0.877449475952325
357,0.8269046894949889,0.9999513767375744,0.8219415680054706,0.8759779441966449,0.8187287532710891,0.8755591315675951
358,0.8345116103134483,0.999951984848602,0.9190134915340292,0.8811741618170341,0.9152154266171261,0.8808026298909243
359,0.9489961038212907,0.9999558090147823,0.9741596834221318,0.8875439026506055,0.9726673219458053,0.8872958271682235
360,0.9489961038212907,0.9999565036889584,0.9741596834221318,0.8855360614791363,0.9726673219458053,0.8853955555824802
361,0.9489961038212907,0.9999566344163967,0.9741596834221318,0.879249190554864,0.9726673219458053,0.879262196759185
362,0.9489961038212907,0.999948650869989,0.9741596834221318,0.8409731127485827,0.9726673219458053,0.8412370392898878
363,0.9922784562068473,0.9999434350354289,0.8783709987001908,0.8774976554634891,0.8802405120572565,0.8783317747698813
364,0.877064031217214,0.9999475900369234,0.8404550109135139,0.8878689691540047,0.8405828498818398,0.8886556789168711
