,M1EF/FTMIGMI inst_corr,M1EF/FTMIGMI hist_corr,GBIEMDCW/GBIEMDCW inst_corr,GBIEMDCW/GBIEMDCW hist_corr
259,0.9173657782359128,1.0,0.919133806683419,1.0
260,0.9173657782359128,1.0,0.919133806683419,1.0
261,0.9173657782359128,0.9999999999999998,0.919133806683419,1.0
262,0.9173657782359128,1.0,0.919133806683419,1.0
263,0.9173657782359128,1.0,0.919133806683419,0.9999999999999999
264,0.9173657782359128,1.0,0.7878966905619033,1.0
265,0.9173657782359128,1.0,0.7537962250794157,1.0
266,0.9173657782359128,1.0,0.7537962250794157,1.0
267,0.9173657782359128,1.0,0.7537962250794157,0.9999999999999999
268,0.9173657782359128,1.0,0.7537962250794157,0.9999999999999999
269,0.9173657782359128,1.0,0.7537962250794157,1.0
270,0.9173657782359128,0.9999999999999998,0.7537962250794157,1.0
271,0.9173657782359128,1.0,0.7537962250794157,0.9999999999999999
272,0.9173657782359128,1.0,0.7537962250794157,1.0
273,0.9173657782359128,1.0,0.7537962250794157,1.0
274,0.9173657782359128,1.0,0.7537962250794157,1.0
275,0.9173657782359128,1.0,0.7537962250794157,1.0
276,0.9173657782359128,1.0,0.7537962250794157,1.0
277,0.9173657782359128,1.0,0.7537962250794157,0.9999999999999998
278,0.9173657782359128,1.0,0.7537962250794157,1.0
